name,color,colorName,base,url
"Almond",#efdecd,almond,assets/img/robots/bases/robot8.png,assets/img/robots/robot128.png
"Almond",#efdecd,almond,assets/img/robots/bases/robot14.png,assets/img/robots/robot129.png
"Almond",#efdecd,almond,assets/img/robots/bases/robot11.png,assets/img/robots/robot130.png
"Almond",#efdecd,almond,assets/img/robots/bases/robot18.png,assets/img/robots/robot131.png
"Almond",#efdecd,almond,assets/img/robots/bases/robot9.png,assets/img/robots/robot132.png
"Almond",#efdecd,almond,assets/img/robots/bases/robot10.png,assets/img/robots/robot133.png
"Almond",#efdecd,almond,assets/img/robots/bases/robot7.png,assets/img/robots/robot134.png
"Almond",#efdecd,almond,assets/img/robots/bases/robot15.png,assets/img/robots/robot135.png
"Almond",#efdecd,almond,assets/img/robots/bases/robot6.png,assets/img/robots/robot136.png
"Almond",#efdecd,almond,assets/img/robots/bases/robot1.png,assets/img/robots/robot137.png
"Almond",#efdecd,almond,assets/img/robots/bases/robot12.png,assets/img/robots/robot138.png
"Almond",#efdecd,almond,assets/img/robots/bases/robot2.png,assets/img/robots/robot139.png
"Almond",#efdecd,almond,assets/img/robots/bases/robot16.png,assets/img/robots/robot140.png
"Almond",#efdecd,almond,assets/img/robots/bases/robot4.png,assets/img/robots/robot141.png
"Almond",#efdecd,almond,assets/img/robots/bases/robot5.png,assets/img/robots/robot142.png
"Almond",#efdecd,almond,assets/img/robots/bases/robot19.png,assets/img/robots/robot143.png
"Almond",#efdecd,almond,assets/img/robots/bases/robot17.png,assets/img/robots/robot144.png
"Amaranth",#e52b50,amaranth,assets/img/robots/bases/robot3.png,assets/img/robots/robot145.png
"Amaranth",#e52b50,amaranth,assets/img/robots/bases/robot8.png,assets/img/robots/robot146.png
"Amaranth",#e52b50,amaranth,assets/img/robots/bases/robot14.png,assets/img/robots/robot147.png
"Amaranth",#e52b50,amaranth,assets/img/robots/bases/robot11.png,assets/img/robots/robot148.png
"Amaranth",#e52b50,amaranth,assets/img/robots/bases/robot18.png,assets/img/robots/robot149.png
"Amaranth",#e52b50,amaranth,assets/img/robots/bases/robot9.png,assets/img/robots/robot150.png
"Amaranth",#e52b50,amaranth,assets/img/robots/bases/robot10.png,assets/img/robots/robot151.png
"Amaranth",#e52b50,amaranth,assets/img/robots/bases/robot7.png,assets/img/robots/robot152.png
"Amaranth",#e52b50,amaranth,assets/img/robots/bases/robot15.png,assets/img/robots/robot153.png
"Amaranth",#e52b50,amaranth,assets/img/robots/bases/robot6.png,assets/img/robots/robot154.png
"Amaranth",#e52b50,amaranth,assets/img/robots/bases/robot1.png,assets/img/robots/robot155.png
"Amaranth",#e52b50,amaranth,assets/img/robots/bases/robot12.png,assets/img/robots/robot156.png
"Amaranth",#e52b50,amaranth,assets/img/robots/bases/robot2.png,assets/img/robots/robot157.png
"Amaranth",#e52b50,amaranth,assets/img/robots/bases/robot16.png,assets/img/robots/robot158.png
"Amaranth",#e52b50,amaranth,assets/img/robots/bases/robot4.png,assets/img/robots/robot159.png
"Amaranth",#e52b50,amaranth,assets/img/robots/bases/robot5.png,assets/img/robots/robot160.png
"Amaranth",#e52b50,amaranth,assets/img/robots/bases/robot19.png,assets/img/robots/robot161.png
"Amaranth",#e52b50,amaranth,assets/img/robots/bases/robot17.png,assets/img/robots/robot162.png
"Amber",#ffbf00,amber,assets/img/robots/bases/robot3.png,assets/img/robots/robot163.png
"Amber",#ffbf00,amber,assets/img/robots/bases/robot8.png,assets/img/robots/robot164.png
"Amber",#ffbf00,amber,assets/img/robots/bases/robot14.png,assets/img/robots/robot165.png
"Amber",#ffbf00,amber,assets/img/robots/bases/robot11.png,assets/img/robots/robot166.png
"Amber",#ffbf00,amber,assets/img/robots/bases/robot18.png,assets/img/robots/robot167.png
"Amber",#ffbf00,amber,assets/img/robots/bases/robot9.png,assets/img/robots/robot168.png
"Amber",#ffbf00,amber,assets/img/robots/bases/robot10.png,assets/img/robots/robot169.png
"Amber",#ffbf00,amber,assets/img/robots/bases/robot7.png,assets/img/robots/robot170.png
"Amber",#ffbf00,amber,assets/img/robots/bases/robot15.png,assets/img/robots/robot171.png
"Amber",#ffbf00,amber,assets/img/robots/bases/robot6.png,assets/img/robots/robot172.png
"Amber",#ffbf00,amber,assets/img/robots/bases/robot1.png,assets/img/robots/robot173.png
"Amber",#ffbf00,amber,assets/img/robots/bases/robot12.png,assets/img/robots/robot174.png
"Amber",#ffbf00,amber,assets/img/robots/bases/robot2.png,assets/img/robots/robot175.png
"Amber",#ffbf00,amber,assets/img/robots/bases/robot16.png,assets/img/robots/robot176.png
"Amber",#ffbf00,amber,assets/img/robots/bases/robot4.png,assets/img/robots/robot177.png
"Amber",#ffbf00,amber,assets/img/robots/bases/robot5.png,assets/img/robots/robot178.png
"Amber",#ffbf00,amber,assets/img/robots/bases/robot19.png,assets/img/robots/robot179.png
"Amber",#ffbf00,amber,assets/img/robots/bases/robot17.png,assets/img/robots/robot180.png
"Amber (Sae/Ece)",#ff7e00,amber_sae_ece,assets/img/robots/bases/robot3.png,assets/img/robots/robot181.png
"Amber (Sae/Ece)",#ff7e00,amber_sae_ece,assets/img/robots/bases/robot8.png,assets/img/robots/robot182.png
"Amber (Sae/Ece)",#ff7e00,amber_sae_ece,assets/img/robots/bases/robot14.png,assets/img/robots/robot183.png
"Amber (Sae/Ece)",#ff7e00,amber_sae_ece,assets/img/robots/bases/robot11.png,assets/img/robots/robot184.png
"Amber (Sae/Ece)",#ff7e00,amber_sae_ece,assets/img/robots/bases/robot18.png,assets/img/robots/robot185.png
"Amber (Sae/Ece)",#ff7e00,amber_sae_ece,assets/img/robots/bases/robot9.png,assets/img/robots/robot186.png
"Amber (Sae/Ece)",#ff7e00,amber_sae_ece,assets/img/robots/bases/robot10.png,assets/img/robots/robot187.png
"Amber (Sae/Ece)",#ff7e00,amber_sae_ece,assets/img/robots/bases/robot7.png,assets/img/robots/robot188.png
"Amber (Sae/Ece)",#ff7e00,amber_sae_ece,assets/img/robots/bases/robot15.png,assets/img/robots/robot189.png
"Amber (Sae/Ece)",#ff7e00,amber_sae_ece,assets/img/robots/bases/robot6.png,assets/img/robots/robot190.png
"Amber (Sae/Ece)",#ff7e00,amber_sae_ece,assets/img/robots/bases/robot1.png,assets/img/robots/robot191.png
"Amber (Sae/Ece)",#ff7e00,amber_sae_ece,assets/img/robots/bases/robot12.png,assets/img/robots/robot192.png
"Amber (Sae/Ece)",#ff7e00,amber_sae_ece,assets/img/robots/bases/robot2.png,assets/img/robots/robot193.png
"Amber (Sae/Ece)",#ff7e00,amber_sae_ece,assets/img/robots/bases/robot16.png,assets/img/robots/robot194.png
"Amber (Sae/Ece)",#ff7e00,amber_sae_ece,assets/img/robots/bases/robot4.png,assets/img/robots/robot195.png
"Amber (Sae/Ece)",#ff7e00,amber_sae_ece,assets/img/robots/bases/robot5.png,assets/img/robots/robot196.png
"Amber (Sae/Ece)",#ff7e00,amber_sae_ece,assets/img/robots/bases/robot19.png,assets/img/robots/robot197.png
"Amber (Sae/Ece)",#ff7e00,amber_sae_ece,assets/img/robots/bases/robot17.png,assets/img/robots/robot198.png
"American Rose",#ff033e,american_rose,assets/img/robots/bases/robot3.png,assets/img/robots/robot199.png
"American Rose",#ff033e,american_rose,assets/img/robots/bases/robot8.png,assets/img/robots/robot200.png
"American Rose",#ff033e,american_rose,assets/img/robots/bases/robot14.png,assets/img/robots/robot201.png
"American Rose",#ff033e,american_rose,assets/img/robots/bases/robot11.png,assets/img/robots/robot202.png
"American Rose",#ff033e,american_rose,assets/img/robots/bases/robot18.png,assets/img/robots/robot203.png
"American Rose",#ff033e,american_rose,assets/img/robots/bases/robot9.png,assets/img/robots/robot204.png
"American Rose",#ff033e,american_rose,assets/img/robots/bases/robot10.png,assets/img/robots/robot205.png
"American Rose",#ff033e,american_rose,assets/img/robots/bases/robot7.png,assets/img/robots/robot206.png
"American Rose",#ff033e,american_rose,assets/img/robots/bases/robot15.png,assets/img/robots/robot207.png
"American Rose",#ff033e,american_rose,assets/img/robots/bases/robot6.png,assets/img/robots/robot208.png
"American Rose",#ff033e,american_rose,assets/img/robots/bases/robot1.png,assets/img/robots/robot209.png
"American Rose",#ff033e,american_rose,assets/img/robots/bases/robot12.png,assets/img/robots/robot210.png
"American Rose",#ff033e,american_rose,assets/img/robots/bases/robot2.png,assets/img/robots/robot211.png
"American Rose",#ff033e,american_rose,assets/img/robots/bases/robot16.png,assets/img/robots/robot212.png
"American Rose",#ff033e,american_rose,assets/img/robots/bases/robot4.png,assets/img/robots/robot213.png
"American Rose",#ff033e,american_rose,assets/img/robots/bases/robot5.png,assets/img/robots/robot214.png
"American Rose",#ff033e,american_rose,assets/img/robots/bases/robot19.png,assets/img/robots/robot215.png
"American Rose",#ff033e,american_rose,assets/img/robots/bases/robot17.png,assets/img/robots/robot216.png
"Amethyst",#96c,amethyst,assets/img/robots/bases/robot3.png,assets/img/robots/robot217.png
"Amethyst",#96c,amethyst,assets/img/robots/bases/robot8.png,assets/img/robots/robot218.png
"Amethyst",#96c,amethyst,assets/img/robots/bases/robot14.png,assets/img/robots/robot219.png
"Amethyst",#96c,amethyst,assets/img/robots/bases/robot11.png,assets/img/robots/robot220.png
"Amethyst",#96c,amethyst,assets/img/robots/bases/robot18.png,assets/img/robots/robot221.png
"Amethyst",#96c,amethyst,assets/img/robots/bases/robot9.png,assets/img/robots/robot222.png
"Amethyst",#96c,amethyst,assets/img/robots/bases/robot10.png,assets/img/robots/robot223.png
